id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
331,ALL,ALL,ASD,ALL,EO,fine_tune,bendr,N/A,subject,balanced
332,ALL,ALL,ASD,ALL,EC,fine_tune,bendr,N/A,subject,balanced
333,ALL,ALL,ADHD,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
334,ALL,ALL,ADHD,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
335,ALL,ALL,ADHD,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
336,ALL,ALL,ADHD,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
337,ALL,ALL,ADHD,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
338,ALL,ALL,ADHD,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
339,ALL,ALL,ADHD,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
340,ALL,ALL,ADHD,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
341,ALL,ALL,ADHD,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
342,ALL,ALL,ADHD,ALL,EO,embedding,cbramod,N/A,subject,balanced
343,ALL,ALL,ADHD,ALL,EC,embedding,cbramod,N/A,subject,balanced
344,ALL,ALL,ADHD,ALL,EO,embedding,reve,N/A,subject,balanced
345,ALL,ALL,ADHD,ALL,EC,embedding,reve,N/A,subject,balanced
346,ALL,ALL,ADHD,ALL,EO,embedding,biot,N/A,subject,balanced
347,ALL,ALL,ADHD,ALL,EC,embedding,biot,N/A,subject,balanced
348,ALL,ALL,ADHD,ALL,EO,embedding,labram,N/A,subject,balanced
349,ALL,ALL,ADHD,ALL,EC,embedding,labram,N/A,subject,balanced
350,ALL,ALL,ADHD,ALL,EO,embedding,luna,N/A,subject,balanced
351,ALL,ALL,ADHD,ALL,EC,embedding,luna,N/A,subject,balanced
352,ALL,ALL,ADHD,ALL,EO,embedding,signaljepa,N/A,subject,balanced
353,ALL,ALL,ADHD,ALL,EC,embedding,signaljepa,N/A,subject,balanced
354,ALL,ALL,ADHD,ALL,EO,embedding,bendr,N/A,subject,balanced
355,ALL,ALL,ADHD,ALL,EC,embedding,bendr,N/A,subject,balanced
356,ALL,ALL,ADHD,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
357,ALL,ALL,ADHD,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
358,ALL,ALL,ADHD,ALL,EO,fine_tune,reve,N/A,subject,balanced
359,ALL,ALL,ADHD,ALL,EC,fine_tune,reve,N/A,subject,balanced
360,ALL,ALL,ADHD,ALL,EO,fine_tune,biot,N/A,subject,balanced
361,ALL,ALL,ADHD,ALL,EC,fine_tune,biot,N/A,subject,balanced
362,ALL,ALL,ADHD,ALL,EO,fine_tune,labram,N/A,subject,balanced
363,ALL,ALL,ADHD,ALL,EC,fine_tune,labram,N/A,subject,balanced
364,ALL,ALL,ADHD,ALL,EO,fine_tune,luna,N/A,subject,balanced
365,ALL,ALL,ADHD,ALL,EC,fine_tune,luna,N/A,subject,balanced
366,ALL,ALL,ADHD,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
367,ALL,ALL,ADHD,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
368,ALL,ALL,ADHD,ALL,EO,fine_tune,bendr,N/A,subject,balanced
369,ALL,ALL,ADHD,ALL,EC,fine_tune,bendr,N/A,subject,balanced
370,ALL,ALL,ASD & ADHD,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
371,ALL,ALL,ASD & ADHD,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
372,ALL,ALL,ASD & ADHD,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
373,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
374,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
375,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
376,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
377,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
378,ALL,ALL,ASD & ADHD,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
379,ALL,ALL,ASD & ADHD,ALL,EO,embedding,cbramod,N/A,subject,balanced
380,ALL,ALL,ASD & ADHD,ALL,EC,embedding,cbramod,N/A,subject,balanced
381,ALL,ALL,ASD & ADHD,ALL,EO,embedding,reve,N/A,subject,balanced
382,ALL,ALL,ASD & ADHD,ALL,EC,embedding,reve,N/A,subject,balanced
383,ALL,ALL,ASD & ADHD,ALL,EO,embedding,biot,N/A,subject,balanced
384,ALL,ALL,ASD & ADHD,ALL,EC,embedding,biot,N/A,subject,balanced
385,ALL,ALL,ASD & ADHD,ALL,EO,embedding,labram,N/A,subject,balanced
386,ALL,ALL,ASD & ADHD,ALL,EC,embedding,labram,N/A,subject,balanced
387,ALL,ALL,ASD & ADHD,ALL,EO,embedding,luna,N/A,subject,balanced
388,ALL,ALL,ASD & ADHD,ALL,EC,embedding,luna,N/A,subject,balanced
389,ALL,ALL,ASD & ADHD,ALL,EO,embedding,signaljepa,N/A,subject,balanced
390,ALL,ALL,ASD & ADHD,ALL,EC,embedding,signaljepa,N/A,subject,balanced
391,ALL,ALL,ASD & ADHD,ALL,EO,embedding,bendr,N/A,subject,balanced
392,ALL,ALL,ASD & ADHD,ALL,EC,embedding,bendr,N/A,subject,balanced
393,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
394,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
395,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,reve,N/A,subject,balanced
396,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,reve,N/A,subject,balanced
397,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,biot,N/A,subject,balanced
398,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,biot,N/A,subject,balanced
399,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,labram,N/A,subject,balanced
400,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,labram,N/A,subject,balanced
401,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,luna,N/A,subject,balanced
402,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,luna,N/A,subject,balanced
403,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
404,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
405,ALL,ALL,ASD & ADHD,ALL,EO,fine_tune,bendr,N/A,subject,balanced
406,ALL,ALL,ASD & ADHD,ALL,EC,fine_tune,bendr,N/A,subject,balanced
407,ALL,ALL,ALL,ASM,N/A,handcrafted,LogisticRegression,feature,subject,balanced
408,ALL,ALL,ALL,ASM,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
409,ALL,ALL,ALL,ASM,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
410,ALL,ALL,ALL,ASM,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
411,ALL,ALL,ALL,ASM,N/A,handcrafted,LogisticRegression,region,subject,balanced
412,ALL,ALL,ALL,ASM,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
413,ALL,ALL,ALL,no med,N/A,handcrafted,LogisticRegression,feature,subject,balanced
414,ALL,ALL,ALL,no med,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
415,ALL,ALL,ALL,no med,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
416,ALL,ALL,ALL,no med,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
417,ALL,ALL,ALL,no med,N/A,handcrafted,LogisticRegression,region,subject,balanced
418,ALL,ALL,ALL,no med,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
419,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,LogisticRegression,feature,subject,balanced
420,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
421,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
422,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
423,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,LogisticRegression,region,subject,balanced
424,ALL,ALL,ALL,psychostimulant,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
425,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,LogisticRegression,feature,subject,balanced
426,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
427,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
428,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
429,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,LogisticRegression,region,subject,balanced
430,ALL,ALL,ALL,ASM & psychostimulant,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
431,ALL,ALL,ALL,ALL,EO,frozen_fine_tune,signaljepa,N/A,subject,balanced
432,ALL,ALL,ALL,ALL,EC,frozen_fine_tune,signaljepa,N/A,subject,balanced
