id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
76,M,ALL,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
77,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
78,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
79,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
80,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
81,M,ALL,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
82,M,ALL,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
83,M,ALL,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
84,M,ALL,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
85,M,ALL,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
86,M,ALL,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
87,M,ALL,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
88,M,ALL,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
89,M,ALL,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
90,M,ALL,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
91,M,ALL,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
92,M,ALL,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
93,M,ALL,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
94,M,ALL,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
95,M,ALL,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
96,M,ALL,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
97,M,ALL,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
98,M,ALL,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
99,M,ALL,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
100,M,ALL,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
101,M,ALL,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
102,M,ALL,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
103,M,ALL,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
104,M,ALL,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
105,M,ALL,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
106,M,ALL,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
107,M,ALL,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
108,M,ALL,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
109,M,ALL,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
110,M,ALL,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
111,ALL,0-4,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
112,ALL,0-4,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
113,ALL,0-4,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
114,ALL,0-4,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
115,ALL,0-4,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
116,ALL,0-4,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
117,ALL,0-4,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
118,ALL,0-4,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
119,ALL,0-4,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
120,ALL,0-4,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
121,ALL,0-4,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
122,ALL,0-4,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
123,ALL,0-4,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
124,ALL,0-4,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
125,ALL,0-4,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
126,ALL,0-4,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
127,ALL,0-4,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
128,ALL,0-4,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
129,ALL,0-4,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
130,ALL,0-4,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
131,ALL,0-4,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
132,ALL,0-4,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
133,ALL,0-4,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
134,ALL,0-4,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
135,ALL,0-4,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
136,ALL,0-4,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
137,ALL,0-4,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
138,ALL,0-4,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
139,ALL,0-4,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
140,ALL,0-4,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
141,ALL,0-4,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
142,ALL,0-4,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
143,ALL,0-4,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
144,ALL,0-4,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
145,ALL,0-4,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
146,ALL,0-4,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
147,ALL,0-4,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
148,ALL,5-8,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
149,ALL,5-8,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
150,ALL,5-8,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
151,ALL,5-8,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
152,ALL,5-8,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
153,ALL,5-8,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
154,ALL,5-8,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
155,ALL,5-8,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
156,ALL,5-8,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
157,ALL,5-8,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
158,ALL,5-8,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
159,ALL,5-8,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
160,ALL,5-8,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
161,ALL,5-8,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
162,ALL,5-8,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
163,ALL,5-8,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
164,ALL,5-8,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
165,ALL,5-8,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
166,ALL,5-8,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
167,ALL,5-8,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
168,ALL,5-8,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
169,ALL,5-8,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
170,ALL,5-8,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
171,ALL,5-8,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
172,ALL,5-8,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
173,ALL,5-8,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
